sNoPlace,sNoPlaceCom,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax,Type,DateDebut,DateFin,maxHeures,sDescription,dtHeureDebut,dtHeureFin,bLun,bMar,bMer,bJeu,bVen,bSam,bDim
A026,A026-CH-AA-28,-73.58663968224906,45.49180692637397,-73.58663579047284,45.491854076673185,1,NORMAL,Simple,,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A027,A027-ZY-35-216,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A027,A027-MX-02-125,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A027,A027-MX-02-28,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A027,A027-MX-01-109,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A027,A027-CH-AA-125,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A027,A027-CH-AA-108,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A027,A027-CH-AA-28,-73.58658059473159,45.49177235550487,-73.58657567598351,45.491817939294904,1,NORMAL,Double,A028,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A028,A028-ZY-35-216,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A028,A028-MX-02-125,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A028,A028-MX-02-28,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A028,A028-MX-01-109,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A028,A028-CH-AA-125,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A028,A028-CH-AA-108,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A028,A028-CH-AA-28,-73.58658059473159,45.49177235550487,-73.58651870479753,45.491785976282266,1,NORMAL,Double,A027,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A029,A029-ZY-35-216,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A029,A029-MX-02-125,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A029,A029-MX-02-28,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A029,A029-MX-01-109,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A029,A029-CH-AA-125,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A029,A029-CH-AA-108,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A029,A029-CH-AA-28,-73.58646246082856,45.49170338861716,-73.58645526292844,45.49174864200573,1,NORMAL,Double,A030,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A030,A030-ZY-35-216,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A030,A030-MX-02-125,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A030,A030-MX-02-28,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A030,A030-MX-01-109,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A030,A030-CH-AA-125,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A030,A030-CH-AA-108,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A030,A030-CH-AA-28,-73.58646246082856,45.49170338861716,-73.58640175913406,45.491717979521994,1,NORMAL,Double,A029,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A031,A031-ZY-35-216,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A031,A031-MX-02-125,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A031,A031-MX-02-28,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A031,A031-MX-01-109,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A031,A031-CH-AA-125,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A031,A031-CH-AA-108,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A031,A031-CH-AA-28,-73.58634414252722,45.4916345784007,-73.58633731178625,45.49168097295894,1,NORMAL,Double,A032,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A032,A032-ZY-35-216,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A032,A032-MX-02-125,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A032,A032-MX-02-28,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A032,A032-MX-01-109,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A032,A032-CH-AA-125,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A032,A032-CH-AA-108,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A032,A032-CH-AA-28,-73.58634414252722,45.4916345784007,-73.58628134554723,45.491648454412214,1,NORMAL,Double,A031,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A133,A133-ZY-14-89,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT.7 h ou 7 h 30 - 8 h 30 MAR ET VEN 01 avril au 01 dec",07:00:00,08:30:00,0,1,0,0,1,0,0
A133,A133-MX-02-125,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A133,A133-MX-02-28,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A133,A133-MX-01-109,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A133,A133-CH-AA-125,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A133,A133-CH-AA-108,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A133,A133-CH-AA-28,-73.58865604320358,45.49046556380147,-73.58872314556554,45.49046548052092,1,NORMAL,Double,A134,Sherbrooke,1,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A134,A134-ZY-14-89,-73.58865604320358,45.49046556380147,-73.58867159695872,45.490512125324734,1,NORMAL,Double,A133,Sherbrooke,1,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT.7 h ou 7 h 30 - 8 h 30 MAR ET VEN 01 avril au 01 dec",07:00:00,08:30:00,0,1,0,0,1,0,0
A134,A134-MX-02-125,-73.58865604320358,45.49046556380147,-73.58867159695872,45.490512125324734,1,NORMAL,Double,A133,Sherbrooke,1,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A134,A134-MX-02-28,-73.58865604320358,45.49046556380147,-73.58867159695872,45.490512125324734,1,NORMAL,Double,A133,Sherbrooke,1,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A134,A134-MX-01-109,-73.58865604320358,45.49046556380147,-73.58867159695872,45.490512125324734,1,NORMAL,Double,A133,Sherbrooke,1,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
